opportunity_id,service_date,account_name,mapbox_username_c,reset_period,product_start_date,userhllmerge
0063600000Jf9VDAAZ,2018-12-03 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,71309
0063600000Jf9VDAAZ,2018-12-04 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,89992
0063600000Jf9VDAAZ,2018-12-05 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,107927
0063600000Jf9VDAAZ,2018-12-06 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,125859
0063600000Jf9VDAAZ,2018-12-07 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,138559
0063600000Jf9VDAAZ,2018-12-08 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,152674
0063600000Jf9VDAAZ,2018-12-09 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,167859
0063600000Jf9VDAAZ,2018-12-10 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,183627
0063600000Jf9VDAAZ,2018-12-11 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,199732
0063600000Jf9VDAAZ,2018-12-12 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,216100
0063600000Jf9VDAAZ,2018-12-13 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,230824
0063600000Jf9VDAAZ,2018-12-14 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,243836
0063600000Jf9VDAAZ,2018-12-15 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,255741
0063600000Jf9VDAAZ,2018-12-16 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,269154
0063600000Jf9VDAAZ,2018-12-17 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,282610
0063600000Jf9VDAAZ,2018-12-18 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,297976
0063600000Jf9VDAAZ,2018-12-19 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,312855
0063600000Jf9VDAAZ,2018-12-20 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,326115
0063600000Jf9VDAAZ,2018-12-21 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,340267
0063600000Jf9VDAAZ,2018-12-22 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,350851
0063600000Jf9VDAAZ,2018-12-23 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,361774
0063600000Jf9VDAAZ,2018-12-24 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,373327
0063600000Jf9VDAAZ,2018-12-25 00:00:00.000,Booking,mapbox-booking,9,2018-03-17 00:00:00,382935
