user_id,Studio_User,inactive_days
brianpoag12,true,55
2bit01,true,56
shawndvv,true,51
salman2301,true,59
madelinebeaudry,true,58
anaalbuquerque,true,52
hyperhec-1210,true,54
capchenji,true,34
stijnkaart,true,44
hi3406,true,59
klaswolf50,true,42
nagurhassan,true,60
djalapengo,true,39
tokyo5902,true,54
minkyeoung,true,52
toni-jak,true,40
cfssarasota,true,53
edwardrpool,true,59
familia5g,true,33
sevencanyonstrust,true,52
inesamp,true,33
rockyemmystudios,true,32
johnv-24,true,41
jh5ewp,true,48
igorono,true,51
rakimax,true,55
bobcamps,true,41
davidida,true,59
krithiga,true,56
aleramirez257,true,53
anacuriel,true,37
cubetech,true,47
manoelamorimneto,true,33
levicole,true,34
szikoramarc,true,51
xbourque,true,37
adkommaps,true,32
nabilomk78,true,48
suwade,true,45
b2p,true,30
erny,true,50
r-orham,true,45
akusgiuaghdiahsn,true,45
yonda-yonda,true,42
windychablis,true,47
vijaygenius123,true,49
iconeng,true,34
140814081408,true,56
plattebasintl,true,34
passer200,true,48
zairarosas,true,38
avdrie77,true,60
edmalouf,true,59
88458,true,35
busrakoksal,true,57
w19871003,true,32
orb-international,true,41
aksynkin,true,44
felipelorenzo,true,46
lesmond,true,31
digitallocale,true,43
reqw,true,33
logmyflight,true,59
dtellez,true,34
samieh,true,54
surveypal,true,53
mchahil,true,30
sumire,true,34
laurenmahoney,true,44
eyhayesvillanova,true,32
jakub3n,true,55
yoghurt0523,true,58
basirpayenda,true,49
tmacwind,true,48
fronzee,true,44
13752614153liu,true,47
nikizidek,true,47
gcris041,true,60
amonens,true,45
fan,true,33
samjuk,true,48
2546,true,52
domotactical,true,59
ghafarshah1995,true,32
garretmm,true,45
wmacadams,true,51
dontaboontennet,true,33
yi1ya2,true,54
moyracartagena,true,37
yooyoo,true,47
iva-ch,true,44
yqing365,true,30
wei473960958,true,46
pengzhendebox,true,31
thi612612,true,31
martypapa,true,41
iamcodylane,true,35
cadgiveli,true,51
853456039,true,57
madibaldwin09,true,41
asteen,true,59
lebornjames,true,40
zhaozechuan,true,52
magodioz,true,40
paulyberk,true,35
fredrikausinsch,true,48
astrick,true,35
janone,true,33
sijun,true,31
lobovaksu,true,41
arshia21,true,37
netflixmaps,true,51
paaciaa,true,33
emre2316,true,59
tarunesh1234,true,36
mohsen158,true,45
sjaramilloz,true,47
asd252573912,true,47
storemania,true,52
dremanroe,true,52
alandelacanal,true,40
exinus,true,52
brewster-website,true,43
liangshhheerrry,true,47
iitvcreative,true,42
kristinagray5541,true,38
nnookp,true,47
2521609496,true,30
tatyanablank,true,30
emmcee,true,35
thestudiothatneversleeps,true,45
kuromabu,true,34
y9m,true,41
chnjari,true,45
pronto-dev,true,44
tucycle,true,48
zeksf,true,47
yingjie0518,true,57
eresponseafrica,true,39
molloo12,true,52
theo-wit,true,59
sopheat,true,45
longpointgeo,true,31
hatemswaileh,true,34
kotlin,true,53
serebryakov9,true,44
kjkca2020,true,36
cunveren,true,37
lifeofhawaii,true,30
kikian,true,58
aacro,true,51
olivaresd,true,45
mahoney-doordash,true,48
neuetral,true,31
avishekkunwar,true,45
neilzbradley,true,44
hololabs-dev,true,31
bandy48,true,45
corsakarya,true,60
lera1111,true,31
jonr2975,true,44
premdepp,true,41
wrojas,true,59
goaty,true,59
os4228,true,44
adnhmm,true,48
dennistaotao,true,36
reinholtk24,true,51
bildy,true,58
heiheiheihei02020,true,42
fitwins78,true,50
mneumayer,true,45
harkomal10,true,41
signemagazine,true,56
yeung0317,true,41
1711510118,true,51
dahager,true,34
hannono,true,38
yuhuiwang,true,54
austinhughes703,true,47
salihgunay,true,59
lcsxtvwwwwwgfdhgfkjh,true,47
weyholee,true,35
cocacola92,true,47
gawi74,true,39
woxcampaigns,true,55
boeser,true,44
rhworks,true,33
hanneloredefour,true,51
aahsoomro,true,33
rileyvanbibber,true,39
jasonu,true,46
lloydh,true,32
1049705832,true,48
trandrewt,true,52
nimasanchez,true,58
souadcherfouh,true,54
tpotts12,true,30
ankita92,true,51
cdoubleu,true,32
icox,true,54
sur-ser,true,37
garkeon,true,30
haku426789,true,46
jhoineth,true,45
cindy714,true,40
eladriel,true,49
nguyentan3901,true,32
